dataset,classifier,accuracy,precision,recall,f1,auc,log_loss,accuracy_std,f1_std,F1,overlap_region_count,mean_feature_relevance,min_feature_relevance,max_feature_relevance,N3,mean_margin,std_margin,min_margin,outlier_score_mean,outlier_percentage,N1,decision_boundary_density,local_density_ratio,cluster_compactness_ratio,n_samples,n_features,imbalance_ratio,majority_class_count,minority_class_count
yeast4,SVM,0.8773455273455273,0.1750738150738151,0.6964102564102563,0.2769243594794754,0.8880834719407718,0.10929901168114316,0.02403603200095827,0.03629053068386269,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,k-NN,0.9683205933205933,0.5,0.18427350427350428,0.25999999999999995,0.7795907495167563,0.5100865608555684,0.007898872112320784,0.20374275719914833,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,Decision Tree,0.95484802984803,0.35714285714285715,0.28410256410256407,0.29812767212148017,0.6315955587093439,1.6274419619933755,0.010999770334523984,0.10039822281785142,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,Neural Network,0.9602397852397851,0.0,0.0,0.0,0.40136703733180223,0.4246604294355847,0.011556912137193164,0.0,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,Naive Bayes,0.1617663117663118,0.03824991921052457,0.9577777777777777,0.07347397475101344,0.8554384474701777,6.271417079640398,0.04507427416684989,0.01520975285932389,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,Random Forest,0.9662981162981163,0.39999999999999997,0.09982905982905983,0.15926573426573426,0.9012383516025174,0.1807366258162566,0.007733878180814812,0.15212040666240545,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,XGBoost,0.9615843115843115,0.31333333333333335,0.20427350427350427,0.22988687782805428,0.9205392769569778,0.134598579760079,0.005521831233495802,0.17692204117228155,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,LightGBM,0.9561902811902812,0.31358974358974356,0.3063247863247863,0.28505175983436853,0.9217400966449704,0.17323156532610856,0.007745878621545234,0.15139360791970152,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,Logistic Regression,0.8510647010647011,0.15334728979311024,0.7405128205128204,0.25264275775903683,0.8746156165047113,0.40608796000736536,0.02620135675898304,0.04236051335773689,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
yeast4,Extra Trees,0.966976066976067,0.45,0.09760683760683761,0.15064935064935064,0.9237617060555813,0.13416083350004274,0.004512209941930549,0.15726623899449976,1.251663762648069,8,0.125,0.0009058440725994,0.2938208852156009,0.07,1.000146353885766,0.0002468538205436,0.9993811887399072,-0.8908355795148248,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.9047348356741975,0.95373869637487,1484,8,28.09803921568627,1433,51
